,SEM-I,SEM-II,SEM-III,SEM-IV,SEM-V,SEM-VI,SEM-VII,SEM-VIII
596,9.00,9.85,9.74,10.00,9.87,9.22,7.95,9.57
597,7.50,8.68,9.48,9.75,9.87,8.48,7.95,7.71
598,8.11,8.58,9.30,9.67,9.52,7.83,8.27,8.52
599,6.97,7.70,9.09,10.00,9.96,8.61,8.18,8.71
600,8.56,9.90,9.87,9.96,10.00,9.22,8.77,9.71
601,9.50,9.90,9.87,10.00,10.00,9.17,8.64,9.43
602,5.67,6.33,9.78,9.75,9.57,7.70,8.14,8.76
603,7.78,9.40,8.96,9.92,9.83,9.22,8.50,9.1
604,7.28,8.40,9.35,9.88,9.96,8.39,7.95,8.71
605,9.17,9.90,9.61,9.88,10.00,8.39,8.09,8.29
606,8.94,7.58,9.57,9.88,9.65,8.61,8.00,8.67
607,8.58,9.90,9.87,9.83,9.74,8.83,7.82,8.71
608,7.89,9.80,9.35,9.75,9.48,8.30,7.41,8.29
609,8.44,9.60,9.09,9.88,9.61,9.26,7.95,8.24
610,7.83,9.25,9.74,10.00,10.00,9.87,9.05,9.57
611,7.11,9.05,9.74,10.00,10.00,9.35,8.91,9.48
613,7.67,8.68,8.52,9.38,8.57,7.57,8.23,8.14
614,7.67,7.90,9.26,8.50,7.61,6.39,5.82,7.48
615,9.00,9.80,9.48,10.00,9.87,10.00,9.45,0.0
616,7.19,8.15,9.78,9.29,9.75,7.83,7.77,8.95
617,7.00,9.25,9.43,9.75,9.87,8.43,7.73,9.14
618,7.75,9.50,9.87,10.00,10.00,9.87,8.77,9.29
619,7.61,9.25,10.00,9.92,10.00,9.74,9.05,9.86
620,7.94,8.85,9.61,10.00,10.00,9.61,8.50,9.29
621,7.92,9.18,10.00,9.75,9.61,8.74,7.82,9.1
622,9.17,9.90,9.57,10.00,10.00,9.30,8.50,0.0
623,9.39,10.00,10.00,10.00,9.87,8.83,8.00,8.1
625,7.50,8.63,9.39,9.46,9.39,7.83,7.45,8.52
626,8.78,9.30,10.00,10.00,10.00,8.78,9.00,9.81
627,6.89,8.50,8.83,9.67,9.00,7.61,7.86,8.62
628,8.89,9.70,9.87,10.00,10.00,9.35,8.50,8.86
629,9.94,10.00,10.00,10.00,9.87,9.87,9.32,9.86
630,8.11,8.15,9.43,9.25,9.83,7.17,7.68,9.19
631,9.61,9.90,9.61,10.00,9.35,9.87,9.18,8.57
632,7.53,9.30,9.26,9.88,10.00,9.04,8.50,8.57
633,8.17,9.30,9.35,9.50,8.70,7.74,7.55,9.1
634,9.00,9.70,9.74,10.00,9.61,8.17,8.27,8.52
635,9.72,10.00,9.61,10.00,9.87,9.48,8.64,9.43
636,6.11,7.85,9.87,10.00,9.35,7.74,6.50,7.38
637,8.44,9.70,9.09,9.13,9.61,9.35,8.50,9.0
638,8.28,9.70,9.61,9.96,9.96,9.61,8.91,9.43
640,8.83,9.15,9.87,10.00,9.74,8.30,8.09,9.0
641,8.83,9.50,9.74,10.00,10.00,8.65,8.64,8.86
642,9.78,10.00,9.87,9.42,9.39,7.30,6.64,8.14
643,9.33,9.78,9.74,9.50,10.00,8.17,7.82,7.95
644,7.11,8.78,9.43,9.63,9.17,9.22,8.77,8.0
645,8.56,9.38,9.57,9.25,9.35,8.39,7.68,9.19
646,10.00,10.00,9.74,10.00,9.87,8.96,8.23,9.14
647,7.89,7.98,9.83,9.96,9.78,8.57,7.82,9.0
648,6.33,7.80,9.30,10.00,9.70,8.17,8.27,9.24
649,6.83,8.18,9.87,9.79,9.74,9.04,7.82,8.38
650,6.61,7.28,9.48,9.88,10.00,8.96,8.64,9.29
651,7.86,8.95,9.61,9.83,10.00,8.78,8.09,9.19
652,7.14,9.00,9.74,9.75,6.74,6.70,7.18,7.76
653,7.25,8.65,9.35,8.75,9.70,7.78,7.14,7.62
655,8.06,9.60,9.87,9.88,9.52,7.39,7.27,8.81
656,6.94,7.50,9.17,9.25,9.57,8.04,7.23,8.43
658,9.00,10.00,9.87,10.00,9.70,8.70,8.36,9.0
660,7.67,9.40,8.83,9.71,9.35,8.43,8.23,8.38
661,7.17,8.85,9.74,10.00,9.74,9.48,8.36,8.43
664,6.78,8.25,9.52,9.88,9.74,8.17,7.95,9.1
665,6.89,8.65,9.00,10.00,10.00,8.26,8.36,8.71
666,7.56,9.30,9.22,9.75,9.74,8.78,7.55,8.29
668,7.11,7.88,9.48,9.75,9.26,6.74,7.55,7.71
669,7.44,8.25,9.43,9.88,9.26,8.13,7.68,8.43
670,8.28,9.90,9.65,9.88,10.00,9.87,8.50,9.48
671,8.67,7.90,9.17,9.79,9.48,8.30,8.18,9.0
672,9.17,9.85,9.87,10.00,10.00,9.91,9.86,9.57
673,9.11,10.00,9.74,9.88,10.00,8.83,8.77,9.43
675,6.17,7.83,9.48,9.75,9.87,7.91,7.14,8.05
676,8.72,7.68,8.91,9.88,9.65,7.09,7.00,8.19
677,7.78,9.70,10.00,10.00,10.00,9.87,9.32,9.43
678,8.44,9.45,9.26,10.00,9.52,9.61,7.82,8.71
679,9.06,9.80,9.87,10.00,9.74,9.74,8.91,9.57
680,8.17,9.40,9.74,9.46,9.39,8.04,7.68,7.76
681,6.06,8.28,9.74,9.92,9.78,8.04,6.86,8.38
682,8.03,8.90,9.65,9.75,9.87,8.57,8.09,8.38
683,8.83,9.65,9.48,10.00,9.87,9.57,8.64,9.43
684,8.39,9.90,8.70,9.50,9.65,9.61,8.50,9.43
686,9.00,9.90,9.74,9.88,9.87,9.61,8.77,8.71
687,8.33,9.15,10.00,10.00,9.61,10.00,8.64,9.14
689,6.50,8.35,10.00,9.88,9.87,9.09,7.00,7.76
690,6.03,7.33,9.74,10.00,9.61,8.30,7.18,7.86
691,7.61,8.70,9.74,10.00,9.74,8.83,8.64,8.86
692,7.94,9.50,9.87,9.75,9.43,8.43,8.55,9.29
693,8.11,9.50,9.74,10.00,9.87,7.61,7.82,8.52
694,6.67,7.50,9.30,9.25,10.00,8.39,8.09,8.71
697,7.56,8.70,9.52,9.54,9.04,7.13,7.45,8.0
700,8.33,9.55,8.70,9.50,9.74,8.57,7.82,8.48
702,7.14,8.90,9.87,9.75,9.39,8.17,7.73,8.0
703,7.33,8.98,9.74,9.88,9.87,9.09,8.23,9.0
704,7.78,7.95,9.43,9.88,10.00,8.22,8.14,8.57
706,7.69,7.93,8.35,8.58,9.43,6.35,7.45,7.48
707,8.44,8.18,9.04,8.63,8.65,6.74,6.32,6.9
709,7.78,8.50,9.09,9.17,9.30,9.09,8.32,8.0
710,8.11,7.55,9.22,9.75,9.87,9.17,8.36,9.0
711,7.28,8.10,9.26,8.54,9.09,7.04,7.91,8.9
714,7.89,9.60,9.74,9.63,10.00,8.65,9.05,9.0
716,7.56,8.80,8.91,9.75,9.87,8.78,7.86,8.43
717,6.94,8.50,9.52,9.88,9.83,8.70,8.32,8.76
720,5.69,8.23,9.74,9.75,9.74,8.48,7.68,8.57
721,6.81,8.10,9.61,9.42,9.87,7.70,7.36,8.14
722,6.81,7.15,8.17,8.42,8.22,7.35,5.95,6.05
724,7.64,9.40,9.35,10.00,9.70,8.74,8.36,8.86
725,8.22,9.35,9.78,9.67,10.00,8.83,7.14,9.0
727,8.11,9.70,9.43,10.00,9.83,8.30,8.95,9.76
728,6.31,7.20,8.74,8.21,9.26,6.87,6.27,6.24
729,8.89,9.90,9.87,9.88,10.00,8.83,8.23,8.71
730,8.50,9.50,10.00,9.54,9.74,8.17,7.45,8.14
732,6.44,8.25,9.39,9.88,9.65,8.39,8.14,9.43
733,8.39,9.45,9.87,9.88,9.87,8.83,7.82,8.14
734,7.28,7.65,9.48,9.75,9.70,8.39,7.95,7.95
735,8.39,9.50,9.74,9.75,9.87,8.70,8.64,8.76
736,8.56,8.63,9.22,8.58,9.65,8.43,8.05,8.95
737,8.06,9.80,10.00,10.00,10.00,9.70,9.05,9.38
738,6.92,8.23,8.57,8.63,9.30,9.13,7.91,9.0
739,7.17,8.95,9.87,10.00,10.00,9.48,8.73,9.33
740,7.31,8.33,9.43,9.42,10.00,9.35,7.68,8.71
741,8.56,9.80,9.61,9.88,10.00,9.61,8.91,9.14
744,7.83,8.40,9.43,9.88,9.83,8.30,7.82,8.71
746,7.22,9.45,8.65,9.88,10.00,7.39,7.14,8.52
747,8.25,8.60,9.43,9.79,9.78,7.17,7.00,7.38
750,9.11,10.00,10.00,9.88,9.35,9.35,8.91,9.43
751,8.28,8.33,10.00,9.75,9.87,7.74,7.82,7.48
752,9.33,9.75,9.87,9.88,9.87,9.48,7.95,8.29
753,6.72,8.58,9.87,10.00,9.35,8.04,7.00,8.14
754,6.36,6.75,9.74,9.79,9.61,6.09,6.86,7.71
755,7.50,8.65,10.00,9.79,9.87,8.83,7.64,8.9
756,9.22,9.70,9.87,9.88,9.87,8.78,8.45,9.57
757,7.17,7.68,10.00,10.00,9.87,8.43,7.64,8.95
758,7.28,8.33,9.04,9.33,8.30,7.43,6.68,7.24
759,6.39,8.28,9.87,9.88,9.61,7.78,6.82,7.48
761,8.11,9.10,9.74,9.38,9.39,8.09,7.55,8.67
762,8.92,8.43,9.74,9.46,9.35,8.48,7.59,8.29
763,7.22,7.88,9.30,9.33,9.04,7.65,6.91,7.95
765,7.08,8.30,9.87,10.00,9.87,8.17,8.36,9.0
766,8.00,9.50,9.87,9.67,9.57,8.57,7.82,9.0
767,7.44,7.60,9.43,9.71,9.61,7.43,7.68,8.71
768,7.64,8.25,9.61,9.79,9.43,7.91,7.68,8.43
769,8.33,9.60,10.00,9.88,10.00,8.70,9.05,9.14
770,8.94,9.58,10.00,10.00,9.87,9.13,9.05,9.43
771,6.39,8.00,10.00,9.88,9.87,8.57,7.95,9.1
772,7.67,9.10,10.00,9.63,9.74,8.30,8.18,7.95
773,6.89,8.60,10.00,10.00,9.87,8.52,8.23,8.57
774,7.44,8.15,9.61,9.88,9.83,9.22,8.09,8.67
775,7.44,7.70,9.65,9.88,9.57,8.70,8.00,7.9
776,8.50,9.30,9.70,9.75,9.65,8.96,8.41,9.29
777,8.83,9.70,10.00,9.88,10.00,8.48,8.50,9.0
778,7.19,8.25,9.57,9.42,9.22,8.70,7.82,9.14
779,6.61,7.40,9.87,9.63,9.78,8.57,7.55,8.29
780,6.83,7.95,9.61,9.75,9.65,8.39,8.09,8.24
781,7.44,8.65,8.30,6.75,9.48,7.78,8.32,9.29
782,8.61,9.80,10.00,9.88,10.00,9.09,9.05,9.57
784,7.53,7.95,10.00,9.75,9.87,8.65,8.86,8.86
785,6.56,8.65,9.87,10.00,9.83,8.96,9.14,9.38
786,8.33,9.25,9.91,10.00,9.74,8.57,8.86,8.71
787,5.94,7.63,9.78,9.67,9.04,7.39,8.05,8.43
788,7.33,8.05,9.70,9.71,9.74,7.52,7.32,8.38
789,9.83,10.00,9.87,9.63,10.00,9.09,9.55,9.0
790,7.78,9.20,10.00,9.25,9.35,8.83,9.32,9.14
791,7.44,8.02,9.39,9.54,8.65,6.00,6.73,7.95
792,7.47,8.60,9.87,9.88,9.87,8.96,8.91,9.0
793,8.39,8.90,9.96,9.75,9.87,8.57,8.14,8.1
794,8.89,7.13,7.83,7.79,8.57,7.17,6.82,7.76
795,8.31,8.65,10.00,10.00,10.00,8.70,8.64,8.81
796,8.47,8.43,9.48,9.58,9.96,6.74,6.95,7.38
797,7.92,8.25,10.00,9.88,9.91,8.22,7.59,9.52
798,8.56,8.63,9.83,9.63,8.22,6.96,8.86,8.86
799,7.33,7.75,9.91,9.88,9.87,8.13,7.55,9.14
800,8.28,7.50,8.87,8.96,8.43,6.74,7.00,7.33
801,8.28,8.60,10.00,9.75,9.74,7.61,8.64,8.62
802,7.72,7.95,8.52,9.42,9.30,7.26,8.09,8.95
803,7.33,8.70,9.57,9.88,10.00,7.65,7.41,8.0
804,7.61,8.60,9.87,9.75,9.87,8.13,7.82,8.43
805,8.89,9.80,10.00,9.75,9.87,8.43,8.23,9.0
806,5.75,7.45,9.39,9.33,8.91,7.35,8.05,8.05
807,7.22,8.65,10.00,9.88,10.00,9.09,8.09,9.0
809,8.03,7.98,9.74,9.67,9.65,7.83,8.14,8.9
810,5.89,7.85,9.87,9.88,9.74,7.78,8.18,8.71
811,7.78,8.85,9.86,10.00,10.00,9.09,9.41,8.43
812,7.61,8.68,10.00,9.79,9.83,8.57,8.50,9.14
813,6.19,8.65,8.34,9.04,8.70,5.96,6.68,7.14
814,8.53,9.20,10.00,9.75,10.00,9.17,8.18,9.19
815,8.86,10.00,9.91,10.00,9.87,9.22,9.45,9.57
816,6.25,8.05,9.61,9.54,8.74,7.57,8.05,7.52
817,9.58,9.50,9.87,9.50,9.48,9.00,9.18,9.43
818,7.72,7.48,8.17,7.83,8.30,6.78,6.68,7.71
819,6.47,6.88,9.43,9.21,9.22,7.17,7.23,8.71
820,5.61,8.10,10.00,9.63,9.87,8.78,8.23,8.52
821,5.36,6.55,9.43,9.58,8.91,8.00,7.55,8.86
822,6.89,7.65,9.61,9.21,9.52,7.65,7.27,8.05
823,6.89,6.69,8.26,8.25,8.22,6.04,5.64,7.1
824,5.72,7.95,9.13,9.50,9.00,7.65,7.77,7.43
825,8.64,8.45,10.00,10.00,9.61,8.96,8.86,9.0
826,6.92,7.58,8.65,8.83,9.00,8.09,8.00,9.24
827,7.56,8.05,9.65,9.58,9.74,8.57,8.55,8.86
828,7.31,7.93,9.96,9.33,9.30,7.70,7.05,8.0
829,8.14,8.95,9.91,10.00,9.61,8.83,8.41,9.0
830,8.06,8.73,10.00,9.71,9.74,8.83,8.41,9.29
831,7.06,8.15,9.96,9.46,9.43,8.17,8.50,8.05
832,8.36,7.88,9.74,9.17,8.39,7.26,7.55,8.43
833,7.06,7.95,9.74,9.63,9.48,8.57,9.05,8.29
834,7.28,7.18,9.09,7.83,8.83,7.09,6.68,7.62
835,7.39,8.30,9.52,9.63,9.87,8.26,8.36,8.71
836,6.72,8.75,10.00,10.00,9.78,8.83,7.18,8.57
838,7.33,8.50,10.00,9.50,9.74,7.74,8.77,9.05
839,8.83,9.25,9.48,9.75,9.09,7.35,8.09,8.33
840,5.41,5.15,7.87,8.83,8.78,6.00,6.50,8.33
842,6.89,8.45,9.74,9.88,9.87,8.52,8.95,9.14
843,7.81,8.35,9.74,9.92,9.87,9.22,9.50,9.24
844,6.69,8.10,9.35,9.79,9.09,7.04,7.05,7.05
845,8.25,9.30,10.00,9.75,9.87,8.83,8.50,9.43
846,6.33,7.60,9.43,9.63,10.00,7.22,7.41,8.33
847,6.69,7.60,9.61,9.54,9.22,7.65,7.73,8.19
849,7.64,7.45,9.70,8.58,9.48,8.13,7.82,8.52
850,8.56,9.60,10.00,9.75,9.87,8.65,9.55,9.14
851,7.33,8.55,10.00,9.75,9.78,8.83,9.27,9.43
852,6.53,7.45,9.35,9.42,8.83,5.87,6.95,7.62
854,7.50,8.48,9.61,9.75,9.39,7.87,7.45,8.19
855,6.81,7.35,9.61,9.58,9.87,7.26,7.50,8.81
856,7.97,7.50,8.96,9.21,9.48,7.61,8.09,8.57
857,7.94,9.00,9.83,9.75,9.96,8.70,9.45,9.19
858,7.50,8.75,9.61,9.25,9.61,9.09,9.41,9.14
859,6.58,7.40,9.87,9.58,9.39,7.65,8.18,8.86
860,7.72,7.75,9.61,9.38,9.35,7.78,7.18,8.57
861,7.67,7.35,9.87,9.67,8.83,6.83,7.23,8.24
862,8.56,9.50,9.74,10.00,10.00,8.13,8.50,9.71
863,6.92,7.20,10.00,9.71,9.87,7.61,7.36,8.81
864,7.19,6.98,8.04,9.21,8.78,7.30,6.86,7.95
865,7.50,7.60,9.61,9.67,9.74,7.17,7.45,8.43
866,6.83,8.00,9.87,9.75,9.48,7.13,7.18,8.29
867,6.44,7.23,9.74,9.83,9.43,7.96,7.73,8.14
868,7.94,8.05,9.87,9.88,9.87,8.04,7.27,7.95
869,7.11,8.10,9.70,9.63,9.26,7.39,6.95,7.48
870,8.56,9.60,8.70,9.13,9.48,8.43,7.36,8.43
871,5.81,6.65,10.00,10.00,9.74,7.43,7.50,8.48
872,7.39,8.15,8.70,8.88,9.48,7.52,7.00,8.57
873,6.75,7.15,9.83,9.42,9.39,8.43,8.05,9.19
874,8.72,9.80,10.00,10.00,9.78,9.09,8.68,9.0
875,8.11,8.15,9.91,9.71,9.26,7.52,6.95,7.71
876,8.58,9.60,9.91,10.00,10.00,8.96,8.36,8.71
877,7.61,8.68,9.87,9.88,9.87,8.87,8.64,9.29
878,7.00,7.19,5.96,7.63,9.26,7.57,7.64,8.57
879,6.89,7.43,9.22,8.79,9.35,8.35,8.64,9.1
880,9.56,9.58,10.00,10.00,9.87,9.09,9.18,8.76
881,8.22,8.85,10.00,9.75,9.48,9.17,8.64,9.38
882,8.61,8.50,10.00,9.83,10.00,8.17,8.59,9.14
883,7.61,8.95,9.74,9.50,9.35,8.70,8.73,9.14
884,8.14,8.20,9.39,9.63,9.61,9.09,8.50,9.1
885,8.53,9.30,9.74,9.71,9.48,8.83,8.77,9.71
886,6.72,9.25,9.91,9.88,9.87,8.96,9.45,9.14
887,6.67,7.13,9.39,9.13,9.74,8.00,7.68,8.52
888,6.97,7.90,9.35,9.92,9.52,7.70,6.91,8.38
889,6.72,8.35,9.22,9.75,9.74,8.30,7.64,8.86
890,7.36,8.20,9.78,9.08,9.52,8.26,8.32,9.0
891,6.78,6.70,9.61,8.92,9.00,7.43,7.45,7.95
892,7.50,9.00,9.91,10.00,9.87,8.74,9.18,9.0
893,8.61,9.55,10.00,9.75,9.35,8.09,7.86,8.71
894,7.61,8.15,9.09,8.83,9.22,7.96,9.00,9.14
895,8.89,9.58,10.00,9.63,9.87,8.70,8.14,8.57
896,7.67,8.88,10.00,9.46,9.74,8.04,8.59,9.0
897,8.44,7.68,9.87,9.92,9.74,7.57,8.09,8.52
898,6.67,6.95,9.04,8.08,8.22,6.61,7.45,8.38
899,7.17,9.10,9.78,9.75,9.83,8.96,8.64,9.19
900,7.47,8.15,9.78,9.79,9.22,8.04,8.00,8.33
901,6.61,8.20,9.74,9.71,9.43,7.22,8.09,8.43
902,8.00,9.13,9.30,9.88,9.43,8.09,8.00,9.1
905,9.72,9.90,10.00,10.00,9.74,8.57,9.55,9.67
906,7.64,8.40,9.74,9.63,9.74,8.43,7.68,9.29
907,6.83,6.85,9.74,9.38,9.65,7.78,8.14,9.0
908,8.14,8.60,9.74,10.00,9.74,8.83,8.91,9.29
909,5.81,7.38,9.74,9.17,9.26,7.91,7.95,9.14
910,8.33,8.30,9.96,10.00,9.87,9.61,9.14,9.71
911,7.89,8.75,10.00,9.75,9.87,7.61,8.77,9.14
912,8.22,8.15,9.87,9.75,9.70,8.39,8.77,9.19
913,7.28,8.60,7.65,6.75,8.78,8.43,8.23,8.95
914,6.89,7.63,10.00,9.92,9.39,8.17,9.00,9.43
915,6.89,8.20,9.35,9.58,9.61,8.00,8.00,7.86
916,8.78,9.80,9.91,9.92,8.43,8.35,8.45,9.29
917,7.17,8.23,10.00,9.88,9.87,8.04,8.45,8.81
918,8.25,8.25,9.35,10.00,9.48,8.83,8.77,9.57
919,9.28,9.70,9.87,9.50,9.48,9.09,9.18,9.38
920,6.94,7.70,10.00,9.63,9.87,7.61,8.32,8.14
921,7.81,8.00,9.96,9.21,9.26,8.65,8.00,9.29
922,6.56,8.43,9.61,9.46,8.91,8.43,8.18,8.62
923,9.11,9.80,9.61,9.50,9.74,8.83,8.36,8.57
924,7.69,7.90,9.22,8.79,9.17,7.48,7.36,7.24
925,7.17,8.15,10.00,9.42,9.61,7.91,6.82,8.71
926,9.28,9.50,10.00,9.88,9.70,8.65,8.73,8.67
929,6.06,8.00,9.61,9.75,9.61,9.09,9.32,9.86
930,7.22,7.90,9.35,9.75,9.74,8.00,7.68,9.14
931,7.56,9.18,9.83,10.00,9.52,8.83,9.73,9.57
932,9.67,9.80,10.00,9.88,9.74,9.22,8.50,9.38
933,8.56,9.10,10.00,9.75,9.87,8.04,8.23,8.67
934,7.28,9.13,9.83,9.67,9.48,8.48,9.23,9.57
935,9.06,9.13,9.96,9.71,9.96,8.30,7.95,8.71
936,9.00,8.83,9.87,9.92,9.65,8.74,8.05,7.86
937,8.33,9.55,9.87,9.88,9.74,9.61,7.41,9.14
938,8.33,8.50,9.65,9.58,9.78,8.43,7.14,8.14
939,5.83,7.60,9.43,9.83,9.91,9.04,8.09,8.43
940,7.89,8.23,9.57,10.00,10.00,9.43,8.00,8.86
941,6.97,7.63,8.91,9.21,8.70,7.04,6.68,8.1
942,7.83,9.50,9.30,10.00,10.00,9.35,7.32,8.43
943,8.69,9.60,10.00,10.00,9.70,9.74,8.73,9.0
944,8.39,9.30,9.87,10.00,9.78,9.61,8.23,8.86
945,7.03,7.63,8.39,9.83,9.48,8.04,7.64,8.71
946,9.11,9.45,10.00,10.00,9.74,8.96,8.05,8.29
947,9.11,9.55,9.96,10.00,9.74,9.30,8.59,9.57
948,7.89,8.95,9.65,9.88,9.74,9.39,8.14,9.14
949,7.58,8.48,9.57,9.96,9.35,8.43,7.50,8.38
950,10.00,9.78,10.00,10.00,9.22,9.04,8.32,8.62
951,8.22,9.60,9.09,9.83,9.52,9.09,8.09,8.38
952,6.69,8.23,9.35,9.63,9.74,7.26,6.82,7.86
953,6.47,8.55,9.22,8.92,8.61,8.26,7.59,8.52
954,7.28,9.10,9.78,9.79,9.70,8.70,7.77,8.71
955,9.83,10.00,10.00,9.50,10.00,10.00,9.45,9.86
956,8.50,8.55,9.87,10.00,9.91,9.22,7.68,7.81
957,7.39,7.95,9.30,9.92,9.78,8.30,7.41,7.95
958,7.00,7.50,9.00,9.75,9.87,8.09,7.55,7.62
959,8.06,7.45,9.61,9.50,9.43,7.43,6.86,8.1
960,9.44,9.55,9.30,9.46,9.74,9.35,8.77,9.1
961,9.00,10.00,10.00,10.00,10.00,9.87,8.91,9.29
962,7.56,9.15,9.87,10.00,9.43,8.83,8.14,8.67
963,8.44,9.60,9.35,9.35,9.57,8.67,7.91,8.29
964,8.72,8.95,9.30,9.75,9.74,8.43,7.18,8.1
966,8.33,9.45,9.70,10.00,10.00,9.87,9.27,9.05
967,8.67,9.50,9.96,10.00,10.00,10.00,9.18,9.24
968,7.22,8.00,7.65,8.50,9.65,7.78,7.05,7.33
969,8.00,9.23,10.00,10.00,9.78,9.61,8.45,8.71
970,8.44,8.03,9.43,9.54,9.61,8.96,8.23,8.81
971,8.67,9.10,9.96,9.83,9.83,9.84,7.91,9.29
972,7.86,9.10,9.00,9.38,9.65,7.52,6.73,7.43
973,7.00,8.65,9.22,10.00,9.83,9.83,8.59,9.14
974,8.17,9.05,9.74,9.83,9.74,9.26,7.73,8.43
975,9.67,9.40,9.83,9.54,9.91,9.22,9.14,9.76
976,6.97,8.45,10.00,10.00,10.00,9.45,8.41,9.29
977,5.98,6.91,7.22,9.08,8.70,8.30,7.18,7.9
978,7.11,8.90,9.43,9.75,9.91,8.43,6.91,8.24
979,7.69,8.28,9.52,9.88,9.57,8.87,8.14,9.57
980,7.53,8.85,9.57,9.83,9.83,8.70,8.32,8.57
981,9.11,9.55,9.22,10.00,10.00,9.00,8.41,8.57
982,7.00,8.05,9.61,9.46,9.83,7.74,7.50,7.71
984,8.28,9.70,10.00,10.00,9.87,9.87,8.09,9.43
985,10.00,10.00,9.78,10.00,9.96,9.48,8.68,9.57
986,7.22,9.10,9.48,10.00,9.74,8.57,7.59,8.14
987,9.17,9.95,9.87,10.00,10.00,9.87,9.32,9.29
988,9.67,9.90,10.00,10.00,9.78,9.83,8.77,9.81
989,7.00,8.30,10.00,9.92,9.87,9.61,8.23,9.0
990,8.36,8.90,9.87,9.75,9.30,8.43,7.41,7.81
991,6.75,7.63,9.48,9.58,9.04,7.26,6.73,7.52
992,9.61,9.65,10.00,10.00,10.00,8.96,8.50,9.0
993,7.00,8.33,9.57,9.50,9.26,8.65,7.91,8.14
994,9.56,10.00,9.87,10.00,9.74,9.61,8.77,9.29
995,9.36,9.70,9.96,9.83,9.74,8.57,7.59,9.1
996,6.56,9.10,9.83,9.75,9.52,7.57,6.95,8.24
997,7.06,7.60,9.26,9.54,9.04,7.13,6.77,6.62
998,7.56,9.25,9.57,10.00,9.22,8.17,6.64,7.86
999,7.78,8.75,9.87,10.00,9.74,9.48,8.59,8.14
1000,9.50,10.00,10.00,10.00,10.00,10.00,8.77,9.29
1001,7.03,8.80,9.83,9.63,9.30,7.17,7.50,7.67
1002,9.33,9.95,10.00,10.00,10.00,10.00,9.05,9.29
1003,9.50,9.70,10.00,10.00,9.87,10.00,8.73,9.29
1004,9.56,10.00,10.00,9.88,10.00,9.61,7.77,8.19
1005,7.50,9.10,9.83,10.00,10.00,9.00,7.23,8.71
1006,7.08,9.30,9.87,10.00,10.00,9.35,7.59,8.86
1007,9.28,9.03,10.00,10.00,10.00,9.09,7.64,8.71
1008,7.22,9.05,10.00,9.98,9.22,8.96,8.32,8.57
1009,8.17,9.25,9.74,9.83,9.22,8.48,7.32,7.76
1010,7.44,9.50,9.78,9.88,9.09,8.26,7.77,7.1
1012,6.31,8.10,9.26,9.96,9.65,8.65,8.41,8.57
1013,7.11,8.60,9.48,10.00,9.96,9.22,8.55,8.24
1014,9.28,9.45,9.61,9.75,9.96,9.35,8.86,9.14
1016,8.78,9.10,9.96,9.88,9.74,9.30,8.14,9.24
1017,9.00,9.48,9.78,9.75,9.30,8.39,8.32,8.1
1018,8.78,9.35,9.65,9.88,10.00,9.87,8.86,9.57
1019,9.56,9.80,10.00,10.00,9.91,10.00,8.64,9.29
1020,7.06,8.83,9.43,10.00,9.74,8.17,7.86,8.43
1021,7.94,9.20,9.83,10.00,9.74,8.43,7.41,8.57
1023,7.08,8.95,9.48,9.71,9.91,9.04,7.82,8.95
1024,7.08,8.83,9.09,9.83,9.30,8.70,8.27,8.86
1025,9.00,9.60,9.87,9.88,9.65,9.17,8.00,8.76
1026,8.56,9.48,9.83,9.88,9.87,9.40,7.59,8.57
1027,8.11,8.90,9.48,9.92,9.35,9.04,8.09,8.38
1028,9.50,9.95,10.00,10.00,9.87,10.00,9.86,9.43
1029,7.83,9.05,9.96,10.00,8.96,9.74,8.91,9.29
1030,8.72,9.60,8.70,9.38,9.48,9.74,8.50,8.71
1031,7.72,9.50,10.00,10.00,9.74,8.70,8.09,8.29
1032,9.78,10.00,9.87,10.00,9.74,9.48,8.09,9.14
1033,8.56,9.70,9.96,10.00,10.00,8.83,7.41,8.71
1034,8.67,8.73,10.00,9.92,9.39,9.09,8.00,8.71
1035,9.22,9.30,10.00,10.00,9.83,9.09,8.05,9.1
1036,8.17,9.10,9.96,10.00,9.52,9.48,7.50,8.0
1037,9.56,9.73,9.78,10.00,9.52,9.09,8.00,9.0
1038,8.83,9.55,9.78,9.83,9.61,8.35,7.09,8.67
1039,6.94,7.43,6.26,8.54,8.91,7.78,6.59,7.43
1040,8.08,8.40,9.61,9.42,9.48,8.22,7.45,8.24
1041,8.50,9.60,10.00,10.00,9.87,9.87,8.50,9.43
1042,9.50,9.95,10.00,9.50,9.78,9.87,9.05,9.95
1043,8.39,9.35,10.00,10.00,9.70,9.61,8.05,8.86
1044,9.72,9.90,10.00,10.00,9.87,8.70,8.36,9.71
1045,9.28,10.00,9.87,10.00,9.87,9.74,8.73,9.57
1046,7.00,8.20,9.91,10.00,9.74,8.70,8.09,7.9
1047,6.75,7.48,9.04,9.42,9.17,7.09,7.09,8.62
1048,7.78,9.20,9.91,9.96,10.00,10.00,9.05,9.29
1049,7.14,7.30,9.48,9.33,9.43,7.87,6.36,7.29
1050,8.50,9.45,9.78,9.83,9.87,9.09,7.77,9.14
1051,8.11,9.00,10.00,10.00,9.96,10.00,8.82,8.43
1052,8.56,9.70,9.96,10.00,9.91,9.74,8.23,9.0
